IPR000092|A0A010PIY8	IPR000092|A0A010PIY8
IPR000167|A0A023W6Y8	IPR000167|A0A023W7V5
IPR000167|A0A023W6Y8	IPR000167|A0A023W8B6
IPR000167|A0A023W6Y8	IPR000167|A0A023W8C1
IPR000167|A0A023W6Y8	IPR000167|A0A023W8J1
IPR000167|A0A023W7V0	IPR000167|A0A023W7V0
IPR000167|A0A023W7V0	IPR000167|A0A023W8I6
IPR000167|A0A059AI61	IPR000167|A0A059AI61
IPR000167|A0A059APP4	IPR000167|A0A059APP4
IPR000167|A0A059ARV0	IPR000167|A0A059ARV0
IPR000167|A0A059ATC8	IPR000167|A0A059ATC8
IPR000167|A0A059BPM9	IPR000167|A0A059BPM9
IPR000167|A0A059BPV1	IPR000167|A0A059BPV1
IPR000167|A0A059Q184	IPR000167|A0A059Q184
IPR000167|A0A059SW74	IPR000167|A0A059SW74
IPR000167|A0A061DFK2	IPR000167|A0A061DFK2
IPR000167|A0A061DYN6	IPR000167|A0A061DYN6
IPR000167|A0A061DZW2	IPR000167|A0A061DZW2
IPR000167|A0A067DY08	IPR000167|A0A067DY08
IPR000167|A0A067DYF6	IPR000167|A0A067DYF6
IPR000167|A0A067FUF5	IPR000167|A0A067FUF5
IPR000167|A0A067FUF5	IPR000167|A0A067DEM0
IPR000167|A0A067FXT5	IPR000167|A0A067FXT5
IPR000167|A0A067H290	IPR000167|A0A067H290
IPR000167|A0A067KL46	IPR000167|A0A067KL46
IPR000167|A0A067KL46	IPR000167|A0A061FD27
IPR000174|A0A060Y1V5	IPR000174|A0A060Y1V5
IPR000174|A0A087YFU0	IPR000174|A0A087YFU0
IPR000174|A0A087YR53	IPR000174|A0A087YR53
IPR000174|A0A087YR53	IPR000174|A0A075CNU3
IPR000174|A0A087YR53	IPR000174|A0A1A8AR84
IPR000174|A0A0P7U9A1	IPR000174|A0A0P7U9A1
IPR000174|A0A0P7W6H5	IPR000174|A0A0P7W6H5
IPR000174|A0A0Q3MPF8	IPR000174|A0A0Q3MPF8
IPR000174|A0A0S7EXT7	IPR000174|A0A0S7EXT7
IPR000174|A0A151P2Y8	IPR000174|A0A151P2Y8
IPR000174|A0A1A6G2V6	IPR000174|A0A1A6G2V6
IPR000174|A0A1A8JF99	IPR000174|A0A1A8JF99
IPR000174|A0A1B8Y522	IPR000174|A0A1B8Y522
IPR000174|A0A1E1ERR5	IPR000174|A0A1E1ERR5
IPR000174|A0A1E1ERR5	IPR000174|A0A075CMT9
IPR000174|A0A1L8EVH0	IPR000174|A0A1L8EVH0
IPR000174|A0A1S3MWZ7	IPR000174|A0A1S3MWZ7
IPR000175|A0A009EUI6	IPR000175|A0A009EUI6
IPR000175|A0A009EUI6	IPR000175|A0A009GXT3
IPR000175|A0A009EUI6	IPR000175|A0A009H5H3
IPR000175|A0A009EUI6	IPR000175|A0A009HWU1
IPR000175|A0A009EUI6	IPR000175|A0A009KQN4
IPR000175|A0A009EUI6	IPR000175|A0A009MND0
IPR000175|A0A009EUI6	IPR000175|A0A009PFM1
IPR000175|A0A009EUI6	IPR000175|A0A009RJI0
IPR000175|A0A009EUI6	IPR000175|A0A009TM20
IPR000175|A0A009EUI6	IPR000175|A0A009Y4R4
IPR000175|A0A009EUI6	IPR000175|A0A010JNG1
IPR000175|A0A009EUI6	IPR000175|A0A013SRE9
IPR000175|A0A009EUI6	IPR000175|A0A013TND0
IPR000175|A0A009EUI6	IPR000175|A0A013UEY1
IPR000175|A0A009EUI6	IPR000175|A0A014CIB0
IPR000175|A0A009EUI6	IPR000175|A0A014CUE3
IPR000175|A0A009EUI6	IPR000175|A0A014D0J2
IPR000175|A0A010NMB0	IPR000175|A0A010NMB0
IPR000175|A0A010QT65	IPR000175|A0A010QT65
IPR000175|A0A010SBF4	IPR000175|A0A010SBF4
IPR000175|A0A010SMK9	IPR000175|A0A010SMK9
IPR000175|A0A011A997	IPR000175|A0A011A997
IPR000175|A0A011N9V8	IPR000175|A0A011N9V8
IPR000175|A0A011NAT5	IPR000175|A0A011NAT5
IPR000175|A0A011NEY5	IPR000175|A0A011NEY5
IPR000175|A0A011NY15	IPR000175|A0A011NY15
IPR000175|A0A011NY15	IPR000175|A0A011N7X1
IPR000175|A0A011SGM8	IPR000175|A0A011SGM8
IPR000175|A0A011SGM8	IPR000175|A0A011RMV1
IPR000175|A0A011VUB9	IPR000175|A0A011VUB9
IPR000176|A0A061J2G0	IPR000176|A0A061J2G0
IPR000176|A0A061J4N5	IPR000176|A0A061J4N5
IPR000176|A0A075ILS7	IPR000176|A0A075ILS7
IPR000176|A0A075ILS7	IPR000176|A0A075CHI8
IPR000176|A0A075ILS7	IPR000176|A0A097IVU4
IPR000176|A0A075ILS7	IPR000176|A0A0A1CV13
IPR000176|A0A075ILS7	IPR000176|A0A0F6N8X1
IPR000176|A0A075ILS7	IPR000176|A0A0G3G027
IPR000176|A0A075ILS7	IPR000176|A0A0K1LD93
IPR000011|A0A022QL98	IPR000011|A0A022QL98
IPR000011|A0A022S055	IPR000011|A0A022S055
IPR000011|A0A022S055	IPR000011|A0A022RQB5
IPR000011|A0A022XK65	IPR000011|A0A022XK65
IPR000011|A0A022XK65	IPR000011|A0A022VV14
IPR000011|A0A022XK65	IPR000011|A0A010RUR9
IPR000011|A0A022XT03	IPR000011|A0A022XT03
IPR000011|A0A022XT03	IPR000011|A0A022W3C5
IPR000011|A0A022XT03	IPR000011|A0A017SB72
IPR000011|A0A023B9A9	IPR000011|A0A023B9A9
IPR000011|A0A023EZA5	IPR000011|A0A023EZA5
IPR000011|A0A023G0D6	IPR000011|A0A023G0D6
IPR000011|A0A023G0D6	IPR000011|A0A023FLB1
IPR000011|A0A023G0D6	IPR000011|A0A023GNJ3
IPR000011|A0A023G0D6	IPR000011|A0A023EWP6
IPR000011|A0A023G0D6	IPR000011|A0A024R1A3
IPR000011|A0A024FZA0	IPR000011|A0A024FZA0
IPR000011|A0A024G1A7	IPR000011|A0A024G1A7
IPR000011|A0A024G1A7	IPR000011|A0A024G0Z4
IPR000011|A0A024G1A7	IPR000011|A0A024G1L4
IPR000011|A0A024G1A7	IPR000011|A0A024G291
IPR000011|A0A024R0R4	IPR000011|A0A024R0R4
IPR000012|A0A023HIS7	IPR000012|A0A023HIS7
IPR000012|A0A023HIS7	IPR000012|A0A024AGK0
IPR000012|A0A023HIS7	IPR000012|A0A059SQA8
IPR000012|A0A023HIS7	IPR000012|A0A059SQC7
IPR000012|A0A023HIS7	IPR000012|A0A059SQD3
IPR000012|A0A023HIS7	IPR000012|A0A059SQD8
IPR000012|A0A023HIS7	IPR000012|A0A059SQD9
IPR000012|A0A023HIS7	IPR000012|A0A059SQE4
IPR000012|A0A023HIS7	IPR000012|A0A059SQG8
IPR000012|A0A023HIS7	IPR000012|A0A059SQM4
IPR000012|A0A023HIS7	IPR000012|A0A059SQN8
IPR000012|A0A023HIS7	IPR000012|A0A059SQS5
IPR000012|A0A023HIS7	IPR000012|A0A059SRM6
IPR000012|A0A023HIS7	IPR000012|A0A059SRN2
IPR000012|A0A023HIS7	IPR000012|A0A059SRN5
IPR000012|A0A023HIS7	IPR000012|A0A059SRQ4
IPR000012|A0A023HIS7	IPR000012|A0A059SRR5
IPR000012|A0A023HIS7	IPR000012|A0A059SRU5
IPR000012|A0A023HIS7	IPR000012|A0A059SRU9
IPR000012|A0A023HIS7	IPR000012|A0A059SRV4
IPR000012|A0A023HIS7	IPR000012|A0A059VFG5
IPR000012|A0A023HIS7	IPR000012|A0A059VKV2
IPR000012|A0A023HIS7	IPR000012|A0A059VQJ8
IPR000012|A0A023HIS7	IPR000012|A0A059VQQ1
IPR000012|A0A023HIS7	IPR000012|A0A059WBK3
IPR000012|A0A023HIS7	IPR000012|A0A059WM42
IPR000012|A0A023HIS7	IPR000012|A0A059WM76
IPR000012|A0A023HIS7	IPR000012|A0A059WMB7
IPR000012|A0A023HIS7	IPR000012|A0A059WME4
IPR000012|A0A023HIS7	IPR000012|A0A059XMG1
IPR000013|A0A024YGX6	IPR000013|A0A024YGX6
IPR000013|A0A024YGX6	IPR000013|A0A087JYW0
IPR000013|A0A060ZN92	IPR000013|A0A060ZN92
IPR000013|A0A060ZN92	IPR000013|A0A014P8K3
IPR000013|A0A060ZN92	IPR000013|A0A0A0NF40
IPR000013|A0A060ZN92	IPR000013|A0A081XXQ9
IPR000013|A0A060ZN92	IPR000013|A0A086GUH8
IPR000013|A0A060ZN92	IPR000013|A0A089YRZ1
IPR000013|A0A066TQ55	IPR000013|A0A066TQ55
IPR000013|A0A075UYQ3	IPR000013|A0A075UYQ3
IPR000013|A0A075UZK4	IPR000013|A0A075UZK4
IPR000013|A0A075UZK4	IPR000013|A0A066TSE8
IPR000013|A0A0A0JP13	IPR000013|A0A0A0JP13
IPR000013|A0A0A6UIN0	IPR000013|A0A0A6UIN0
IPR000013|A0A0A8E9M4	IPR000013|A0A0A8E9M4
IPR000013|A0A0A8E9M4	IPR000013|A0A059WJ07
IPR000013|A0A0A8EJL3	IPR000013|A0A0A8EJL3
IPR000013|A0A0A8EJL3	IPR000013|A0A059W7W1
IPR000013|A0A0B5ER08	IPR000013|A0A0B5ER08
IPR000013|A0A0B5ER08	IPR000013|A0A081XLC5
IPR000013|A0A0B5ER08	IPR000013|A0A086N7X3
IPR000013|A0A0B5ER08	IPR000013|A0A022MIL6
IPR000013|A0A0B5ER08	IPR000013|A0A024YTW5
IPR000013|A0A0B5ER08	IPR000013|A0A066YZN4
IPR000013|A0A0B5ER08	IPR000013|A0A069JXE7
IPR000013|A0A0B5ER08	IPR000013|A0A087K0L0
IPR000013|A0A0B5ER08	IPR000013|A0A087KFJ3
IPR000013|A0A0B5ER08	IPR000013|A0A0A0NG79
IPR000013|A0A0B5ER08	IPR000013|A0A014MMN2
IPR000013|A0A0B5ER08	IPR000013|A0A060ZTF1
IPR000015|A0A009GRV6	IPR000015|A0A009GRV6
IPR000015|A0A009GRV6	IPR000015|A0A009HHJ4
IPR000015|A0A009GRV6	IPR000015|A0A009HMX0
IPR000015|A0A009GRV6	IPR000015|A0A009I1C4
IPR000015|A0A009GRV6	IPR000015|A0A009L4E4
IPR000015|A0A009GRV6	IPR000015|A0A009LSD7
IPR000015|A0A009GRV6	IPR000015|A0A009PBG8
IPR000015|A0A009HCW5	IPR000015|A0A009HCW5
IPR000015|A0A009HCW5	IPR000015|A0A009GUF0
IPR000015|A0A009HCW5	IPR000015|A0A009HKP7
IPR000015|A0A009HCW5	IPR000015|A0A009N705
IPR000015|A0A009HJU2	IPR000015|A0A009HJU2
IPR000015|A0A009HJU2	IPR000015|A0A009LHN1
IPR000015|A0A009L3X6	IPR000015|A0A009L3X6
IPR000015|A0A009L5F1	IPR000015|A0A009L5F1
IPR000015|A0A009L5F1	IPR000015|A0A009G5I1
IPR000015|A0A009L5F1	IPR000015|A0A009HH82
IPR000015|A0A009L5F1	IPR000015|A0A009PSF4
IPR000015|A0A009L5F1	IPR000015|A0A009NGC0
IPR000015|A0A009L5F1	IPR000015|A0A009GSX9
IPR000015|A0A009L6M9	IPR000015|A0A009L6M9
IPR000015|A0A009L6M9	IPR000015|A0A009LRZ1
IPR000015|A0A009L6M9	IPR000015|A0A009MKY2
IPR000015|A0A009LHF0	IPR000015|A0A009LHF0
IPR000162|A0A060XTW3	IPR000162|A0A060XTW3
IPR000162|A0A060XUG6	IPR000162|A0A060XUG6
IPR000162|A0A060Y7K0	IPR000162|A0A060Y7K0
IPR000162|A0A060YHR6	IPR000162|A0A060YHR6
IPR000162|A0A060YK11	IPR000162|A0A060YK11
IPR000162|A0A060YK11	IPR000162|A0A060Z7V5
IPR000162|A0A060YLM8	IPR000162|A0A060YLM8
IPR000162|A0A060Z8U4	IPR000162|A0A060Z8U4
IPR000163|A0A011NRZ9	IPR000163|A0A011NRZ9
IPR000163|A0A011UIM3	IPR000163|A0A011UIM3
IPR000163|A0A014N592	IPR000163|A0A014N592
IPR000163|A0A015JK49	IPR000163|A0A015JK49
IPR000163|A0A015LJ61	IPR000163|A0A015LJ61
IPR000163|A0A015LJ61	IPR000163|A0A022XNZ3
IPR000163|A0A015LJ61	IPR000163|A0A010R370
IPR000163|A0A015LJ61	IPR000163|A0A017S3Y8
IPR000163|A0A015LJ61	IPR000163|A0A022VY76
IPR000163|A0A015N0X6	IPR000163|A0A015N0X6
IPR000163|A0A015N0X6	IPR000163|A0A015JT05
IPR000163|A0A016VL40	IPR000163|A0A016VL40
IPR000163|A0A016WXN6	IPR000163|A0A016WXN6
IPR000163|A0A016WXN6	IPR000163|A0A016WX03
IPR000163|A0A016WXN6	IPR000163|A0A016WXG8
IPR000163|A0A017H616	IPR000163|A0A017H616
IPR000163|A0A017S827	IPR000163|A0A017S827
IPR000163|A0A017S827	IPR000163|A0A010SJ31
IPR000163|A0A017S827	IPR000163|A0A015JRD3
IPR000163|A0A017S827	IPR000163|A0A015LBG3
IPR000163|A0A017S827	IPR000163|A0A022VMN3
IPR000163|A0A017S827	IPR000163|A0A022XE51
IPR000163|A0A017T554	IPR000163|A0A017T554
IPR000163|A0A021X9E1	IPR000163|A0A021X9E1
IPR000163|A0A022QX56	IPR000163|A0A022QX56
IPR000163|A0A022QX56	IPR000163|A0A022QUV4
IPR000163|A0A022QX56	IPR000163|A0A022QA22
IPR000163|A0A022R3I0	IPR000163|A0A022R3I0
IPR000163|A0A023BZN5	IPR000163|A0A023BZN5
IPR000163|A0A023D0U4	IPR000163|A0A023D0U4
IPR000164|A0A010RSM3	IPR000164|A0A010RSM3
IPR000164|A0A010RSM3	IPR000164|A0A015M0D3
IPR000164|A0A010RSM3	IPR000164|A0A015MQC9
IPR000164|A0A015I439	IPR000164|A0A015I439
IPR000164|A0A016SMG0	IPR000164|A0A016SMG0
IPR000164|A0A016UNM8	IPR000164|A0A016UNM8
IPR000164|A0A016W3N5	IPR000164|A0A016W3N5
IPR000164|A0A016W3N5	IPR000164|A0A010RP26
IPR000164|A0A016W3N5	IPR000164|A0A015J5V7
IPR000164|A0A016W3N5	IPR000164|A0A015K3K2
IPR000164|A0A016W3N5	IPR000164|A0A015MN08
IPR000164|A0A016W3N5	IPR000164|A0A015N1X6
IPR000164|A0A016W3N5	IPR000164|A0A016SGD9
IPR000164|A0A016W3N5	IPR000164|A0A016SXW3
IPR000164|A0A016W3N5	IPR000164|A0A016WNY5
IPR000164|A0A016W3N5	IPR000164|A0A017SQB6
IPR000164|A0A016W3N5	IPR000164|A0A022QUM5
IPR000164|A0A016W3N5	IPR000164|A0A022RJM3
IPR000164|A0A016W3N5	IPR000164|A0A022VZU9
IPR000164|A0A016W3N5	IPR000164|A0A022XPT1
IPR000164|A0A016W4D4	IPR000164|A0A016W4D4
IPR000164|A0A016WNH1	IPR000164|A0A016WNH1
IPR000164|A0A016WNH1	IPR000164|A0A016WQ31
IPR000164|A0A017S325	IPR000164|A0A017S325
IPR000164|A0A022QWU3	IPR000164|A0A022QWU3
IPR000164|A0A022R9S3	IPR000164|A0A022R9S3
IPR000164|A0A022REU0	IPR000164|A0A022REU0
IPR000164|A0A022REU0	IPR000164|A0A022Q3V7
IPR000164|A0A022XDS9	IPR000164|A0A022XDS9
IPR000164|A0A022XDS9	IPR000164|A0A022VMM2
IPR000165|A0A010R450	IPR000165|A0A010R450
IPR000165|A0A010R450	IPR000165|A0A066XIW9
IPR000165|A0A010RUS6	IPR000165|A0A010RUS6
IPR000165|A0A022WCT2	IPR000165|A0A022WCT2
IPR000165|A0A022WCT2	IPR000165|A0A022Y2Z6
IPR000165|A0A022WCT2	IPR000165|A0A059JGW1
IPR000165|A0A024SN40	IPR000165|A0A024SN40
IPR000165|A0A060IBE0	IPR000165|A0A060IBE0
IPR000165|A0A060SPL9	IPR000165|A0A060SPL9
IPR000165|A0A060T440	IPR000165|A0A060T440
IPR000165|A0A060TJ22	IPR000165|A0A060TJ22
IPR000165|A0A061B3M7	IPR000165|A0A061B3M7
IPR000165|A0A061BDH4	IPR000165|A0A061BDH4
IPR000165|A0A061HDG0	IPR000165|A0A061HDG0
IPR000165|A0A066VK84	IPR000165|A0A066VK84
IPR000165|A0A066VKJ2	IPR000165|A0A066VKJ2
IPR000165|A0A066VUY1	IPR000165|A0A066VUY1
IPR000165|A0A066W406	IPR000165|A0A066W406
IPR000165|A0A066W4J4	IPR000165|A0A066W4J4
IPR000165|A0A066XMN5	IPR000165|A0A066XMN5
IPR000165|A0A067MM92	IPR000165|A0A067MM92
IPR000165|A0A067MTT2	IPR000165|A0A067MTT2
IPR000165|A0A067MUG8	IPR000165|A0A067MUG8
IPR000165|A0A067MYQ6	IPR000165|A0A067MYQ6
IPR000165|A0A067NPC1	IPR000165|A0A067NPC1
IPR000165|A0A067TJS5	IPR000165|A0A067TJS5
IPR000165|A0A067TJS5	IPR000165|A0A067NJI9
IPR000165|A0A067TJS5	IPR000165|A0A067Q6R3
IPR000165|A0A067TJS5	IPR000165|A0A067TUD9
IPR000165|A0A068RK60	IPR000165|A0A068RK60
IPR000074|A0A068BFN5	IPR000074|A0A068BFN5
IPR000074|A0A068D3F3	IPR000074|A0A068D3F3
IPR000074|A0A068D3F3	IPR000074|A0A011UZW7
IPR000074|A0A068SNV7	IPR000074|A0A068SNV7
IPR000074|A0A068SNV7	IPR000074|A0A068T9K9
IPR000074|A0A075Q417	IPR000074|A0A075Q417
IPR000074|A0A075Q417	IPR000074|A0A075Q1Z9
IPR000074|A0A076JWU9	IPR000074|A0A076JWU9
IPR000074|A0A076JWU9	IPR000074|A0A060XNR6
IPR000074|A0A076JWU9	IPR000074|A0A076JS12
IPR000074|A0A076JXA5	IPR000074|A0A076JXA5
IPR000074|A0A076JXA5	IPR000074|A0A067YZC2
IPR000074|A0A076JXA5	IPR000074|A0A076JT57
IPR000076|A0A026WQ18	IPR000076|A0A026WQ18
IPR000076|A0A026WQ18	IPR000076|A0A023F5C7
IPR000076|A0A060VT52	IPR000076|A0A060VT52
IPR000076|A0A060W123	IPR000076|A0A060W123
IPR000076|A0A060WMQ5	IPR000076|A0A060WMQ5
IPR000076|A0A060XZK3	IPR000076|A0A060XZK3
IPR000076|A0A060Y311	IPR000076|A0A060Y311
IPR000076|A0A060Y311	IPR000076|A0A024R9K8
IPR000076|A0A060Y311	IPR000076|A0A024R9I5
IPR000076|A0A060Y311	IPR000076|A0A060WS36
IPR000076|A0A060Y311	IPR000076|A0A060XCJ3
IPR000076|A0A060Y311	IPR000076|A0A076FRG6
IPR000076|A0A060Y311	IPR000076|A0A076FR46
IPR000076|A0A060Y311	IPR000076|A0A076FSX1
IPR000076|A0A060Y311	IPR000076|A0A087QGZ2
IPR000076|A0A060Y311	IPR000076|A0A087QX67
IPR000076|A0A060Y311	IPR000076|A0A087R2L0
IPR000076|A0A060Y9H9	IPR000076|A0A060Y9H9
IPR000076|A0A060YQN3	IPR000076|A0A060YQN3
IPR000076|A0A060Z1Z4	IPR000076|A0A060Z1Z4
IPR000076|A0A060Z2G7	IPR000076|A0A060Z2G7
IPR000076|A0A060Z2G7	IPR000076|A0A060Z396
IPR000076|A0A060Z2G7	IPR000076|A0A060WMF9
IPR000076|A0A084WB91	IPR000076|A0A084WB91
IPR000076|A0A084WB91	IPR000076|A0A034VKW0
IPR000076|A0A084WB91	IPR000076|A0A034VI57
IPR000076|A0A084WB91	IPR000076|A0A034VJ83
IPR000076|A0A084WB91	IPR000076|A0A034VK61
IPR000076|A0A087TPI7	IPR000076|A0A087TPI7
IPR000076|A0A087URE7	IPR000076|A0A087URE7
IPR000077|A0A016VCS9	IPR000077|A0A016VCS9
IPR000077|A0A022Q037	IPR000077|A0A022Q037
IPR000077|A0A022Q037	IPR000077|A0A059D7Q1
IPR000077|A0A023B463	IPR000077|A0A023B463
IPR000077|A0A024VC45	IPR000077|A0A024VC45
IPR000077|A0A024VC45	IPR000077|A0A024WTX4
IPR000077|A0A024VC45	IPR000077|A0A060RPS1
IPR000077|A0A031LMP6	IPR000077|A0A031LMP6
IPR000077|A0A058ZU08	IPR000077|A0A058ZU08
IPR000077|A0A058ZU08	IPR000077|A0A059B161
IPR000077|A0A058ZU08	IPR000077|A0A059C6K5
IPR000077|A0A059B6Y2	IPR000077|A0A059B6Y2
IPR000077|A0A059B6Y2	IPR000077|A0A059AZW3
IPR000077|A0A059B6Y2	IPR000077|A0A059B7D6
IPR000077|A0A059JJG9	IPR000077|A0A059JJG9
IPR000077|A0A060HQ62	IPR000077|A0A060HQ62
IPR000077|A0A060T836	IPR000077|A0A060T836
IPR000077|A0A060T836	IPR000077|A0A058ZDH9
IPR000077|A0A060T836	IPR000077|A0A010RW49
IPR000077|A0A060T836	IPR000077|A0A015INA9
IPR000077|A0A060T836	IPR000077|A0A017SB78
IPR000077|A0A060T836	IPR000077|A0A022RZ10
IPR000077|A0A060T836	IPR000077|A0A022WI45
IPR000077|A0A060T836	IPR000077|A0A022Y8Q8
IPR000077|A0A060T836	IPR000077|A0A024GGZ6
IPR000077|A0A060T836	IPR000077|A0A024SKX6
IPR000077|A0A060T836	IPR000077|A0A024TQR4
IPR000077|A0A060T836	IPR000077|A0A059LBC0
IPR000077|A0A060T836	IPR000077|A0A061BA74
IPR000077|A0A060YJN0	IPR000077|A0A060YJN0
IPR000079|A0A024R2A3	IPR000079|A0A024R2A3
IPR000079|A0A060VZ36	IPR000079|A0A060VZ36
IPR000079|A0A061HVS0	IPR000079|A0A061HVS0
IPR000079|A0A061HYC2	IPR000079|A0A061HYC2
IPR000079|A0A061HZQ9	IPR000079|A0A061HZQ9
IPR000079|A0A061I5H5	IPR000079|A0A061I5H5
IPR000079|A0A061ID37	IPR000079|A0A061ID37
IPR000079|A0A061IMU0	IPR000079|A0A061IMU0
IPR000079|A0A061IN47	IPR000079|A0A061IN47
IPR000079|A0A061QQX5	IPR000079|A0A061QQX5
IPR000079|A0A067TAD6	IPR000079|A0A067TAD6
IPR000079|A0A087R969	IPR000079|A0A087R969
IPR000079|A0A087RIX6	IPR000079|A0A087RIX6
IPR000079|A0A087V864	IPR000079|A0A087V864
IPR000079|A0A087V864	IPR000079|A0A087QRZ6
IPR000079|A0A087VJX6	IPR000079|A0A087VJX6
IPR000079|A0A087VJX6	IPR000079|A0A024R046
IPR000079|A0A087VJX6	IPR000079|A0A061IDU5
IPR000079|A0A087VJX6	IPR000079|A0A087QW71
IPR000079|A0A087WR34	IPR000079|A0A087WR34
IPR000079|A0A087WSB8	IPR000079|A0A087WSB8
IPR000079|A0A087WSB8	IPR000079|A0A061IC66
IPR000079|A0A087WSB8	IPR000079|A0A087WZE9
